Feature,Feature Importances
release_date,0.19641457874929652
brand_ Yeezy,0.15786156037092852
brand_Off-White,0.14109099571810702
sneaker_name_Air-Jordan-1-Retro-High-Off-White-Chicago,0.1366357103376206
order_date,0.12483177698891153
sneaker_name_Air-Jordan-1-Retro-High-Off-White-White,0.06848167942252427
retail_price,0.03393869232259703
shoe_size,0.030886961337469373
sneaker_name_Nike-Air-Presto-Off-White,0.020998751666853367
sneaker_name_adidas-Yeezy-Boost-350-V2-Static-Reflective,0.014841218437770221
sneaker_name_Air-Jordan-1-Retro-High-Off-White-University-Blue,0.010838251337045645
sneaker_name_Nike-Zoom-Fly-Off-White-Pink,0.009965761109135397
sneaker_name_Nike-Zoom-Fly-Off-White-Black-Silver,0.007948532967746638
sneaker_name_Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,0.005361373909279933
sneaker_name_Adidas-Yeezy-Boost-350-V2-Cream-White,0.005206857126519455
sneaker_name_Nike-Air-Force-1-Low-Off-White-Volt,0.004192666720856754
sneaker_name_Nike-Air-Presto-Off-White-White-2018,0.003734317919088933
sneaker_name_Adidas-Yeezy-Boost-350-V2-Blue-Tint,0.003077998155284449
sneaker_name_Adidas-Yeezy-Boost-350-Low-Turtledove,0.002877375650878025
sneaker_name_Nike-Air-VaporMax-Off-White,0.002136631114195718
sneaker_name_Adidas-Yeezy-Boost-350-V2-Zebra,0.001554260343147213
sneaker_name_Nike-Air-Presto-Off-White-Black-2018,0.0015448403921816643
sneaker_name_Adidas-Yeezy-Boost-350-V2-Core-Black-Red,0.0014205670068304912
sneaker_name_Nike-Zoom-Fly-Off-White,0.0013024556957133677
sneaker_name_Nike-Zoom-Fly-Mercurial-Off-White-Total-Orange,0.0009538514061514955
sneaker_name_Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,0.0008204925922767879
buyer_region_New York,0.0007330866996503703
sneaker_name_Nike-Zoom-Fly-Mercurial-Off-White-Black,0.0007254553664936261
sneaker_name_adidas-Yeezy-Boost-350-V2-Butter,0.00062602299436959
buyer_region_California,0.0005806916080874464
sneaker_name_Nike-Blazer-Mid-Off-White-All-Hallows-Eve,0.000496712403456857
sneaker_name_Nike-Air-Force-1-Low-Off-White,0.00046836998399538295
buyer_region_Florida,0.00037267830815803185
sneaker_name_Nike-Blazer-Mid-Off-White-Wolf-Grey,0.0003517683432880234
sneaker_name_Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,0.00033536163990775147
buyer_region_Texas,0.0003285467321398573
sneaker_name_Nike-Air-Force-1-Low-Virgil-Abloh-Off-White-AF100,0.0003197399366046826
sneaker_name_adidas-Yeezy-Boost-350-V2-Static,0.00029479922077553267
sneaker_name_Nike-React-Hyperdunk-2017-Flyknit-Off-White,0.00029198760894268003
buyer_region_New Jersey,0.0002826114539272428
buyer_region_Oregon,0.00027262174545570467
sneaker_name_Adidas-Yeezy-Boost-350-Low-V2-Beluga,0.00025997328273675847
buyer_region_Kentucky,0.00022379661589745493
sneaker_name_Nike-Air-VaporMax-Off-White-2018,0.00020749153882321234
buyer_region_Massachusetts,0.00020624104555911347
buyer_region_Michigan,0.00020405787526405798
buyer_region_Arizona,0.0001913031333352081
sneaker_name_Nike-Blazer-Mid-Off-White,0.00018205691853832856
buyer_region_Georgia,0.0001788729611766543
sneaker_name_Adidas-Yeezy-Boost-350-V2-Core-Black-Green,0.00017342188893134216
buyer_region_Illinois,0.0001612530812860317
buyer_region_Pennsylvania,0.00014969712643864055
sneaker_name_Nike-Air-Max-90-Off-White,0.000120619443958054
sneaker_name_Adidas-Yeezy-Boost-350-V2-Core-Black-White,0.00011915528400859506
sneaker_name_Nike-Air-Max-97-Off-White-Elemental-Rose-Queen,0.00011193976712081683
buyer_region_Virginia,0.00011192451202056226
buyer_region_Ohio,0.00010830526787845409
buyer_region_Maryland,9.976510519484294e-05
buyer_region_Washington,9.354144632673789e-05
buyer_region_Utah,8.706207282805332e-05
sneaker_name_Nike-Air-Max-97-Off-White-Menta,8.458946763517705e-05
sneaker_name_Adidas-Yeezy-Boost-350-V2-Sesame,8.374923735347158e-05
sneaker_name_Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,8.313646599665583e-05
buyer_region_Indiana,8.010529497163591e-05
sneaker_name_Nike-Air-Max-97-Off-White,7.986854570004115e-05
buyer_region_Wisconsin,7.626888274782014e-05
buyer_region_Delaware,7.511735217926792e-05
sneaker_name_Nike-Air-Max-97-Off-White-Black,7.110271963855045e-05
